Smiles,EC50 (nM),values
O=C(CCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,6.31,1.0
COc1ccc(SCc2cnc(SCc3c(F)cc(C(=O)NCC[N+](C)(C)C)cc3F)n2-c2ccc(F)cc2)cc1OC.[Cl-],2300.0,0.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N1CCCCC1c1ccccn1,9530.0,0.0
Cc1nn(C)c(Oc2ccccc2C#N)c1C(=O)N1CCCCC1c1cccnc1,2910.0,0.0
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(CO)cc1,2930.0,0.0
COC(=O)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C(C)C)cc1,3590.0,0.0
O=C(O)CCCCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,50.12,1.0
CN(C(=O)[C@@H]1CCCN1Cc1cc(Cl)ccc1Cl)c1ccccc1OC1CC1,1000.0,0.0
O=C([C@@H]1C[C@H](F)CN1Cc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,50.12,1.0
O=C([C@@H]1C[C@@H](F)CN1Cc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,63.1,1.0
O=C([C@@H]1CSCN1Cc1cc(Cl)ccc1C(F)(F)F)N1CCN(C2CC2)c2ccccc21,39.81,1.0
CN(C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO)C(=O)CCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,63.1,1.0
COc1cc(C2CCN(c3cc(N4CC[C@H]4C(=O)NCCc4ccc(C#N)cc4)nc(C(F)(F)F)n3)CC2)ccc1C(=O)O,0.5,1.0
Cc1ccccc1C(C/C(=N\O)c1ccncc1)c1ccc(N(C)C)cc1,1040.0,0.0
Cc1cccc(C(C/C(=N\O)c2ccncc2)c2ccc(N(C)C)cc2)c1,1500.0,0.0
C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,77000.0,0.0
O=C(c1cncn1Cc1ccccc1Cl)N1CCN(C2CC2)c2ccccc21,3690.0,0.0
C=CCN1CCN(C(=O)c2cnccc2Oc2cc(Cl)ccc2Cl)c2ccccc21,6.2,1.0
O=C(c1cnccc1Oc1cc(Cl)ccc1Cl)N1CCN(C2CCC2)c2ccccc21,2.8,1.0
CCOC(=O)c1coc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,44.0,1.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,10930.0,0.0
COc1ccc(C2(C)CCCc3nc(SCc4c(F)cc(C(=O)O)cc4F)n(-c4ccc(F)cc4)c32)cc1OC,3500.0,0.0
CC[C@@H]1[C@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,1030.0,0.0
O=C(CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NCCOCCOCCOCCOCCOCCOCCNC(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,20000.0,0.0
COc1ccc(C(C)(C)c2cnc(SCCOCc3c(F)cccc3Cl)n2-c2ccc(F)cc2)cc1OC,1.6,1.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4000.0,0.0
CCOCOC(=O)c1coc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,16.4,1.0
COC(=O)c1coc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,0.9,1.0
Cc1nn(C)c(Oc2ccccc2Cl)c1C(=O)N1CCCCC1c1cccnc1,15.0,1.0
Cc1nn(C)c(Oc2ccccc2C(F)(F)F)c1C(=O)N1CCCCC1c1cccnc1,15.0,1.0
COc1cccc(-c2noc(C)c2C(=O)N(C)c2ccc(Cl)cc2)c1,1.0,1.0
CCc1onc(-c2ccccc2)c1C(=O)N(C)c1ccc(Cl)cc1,63.1,1.0
Fc1ccc(-n2c(SCc3c(F)cccc3Cl)nc3c2C(c2ccc4c(c2)OCO4)CCC3)cc1,26000.0,0.0
COc1ccc(C(C)(C)c2cnc(SCCOc3ccc(-n4cccn4)cc3)n2-c2ccc(F)cc2)cc1OC,19.6,1.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,1.995,1.0
C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,127000.0,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3980.0,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@@]4(C)[C@H]3C[C@H](O)[C@]12C,4390.0,0.0
O=C(c1cnccc1Oc1ccc2occc2c1)N1CCN(C2CC2)c2ccccc21,10.7,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](C[C@H](O)[C@]3(C)[C@@H]([C@H](C)C[C@H](C)C(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,4960.0,0.0
COc1ccc(C2(C)CCCc3nc(SCc4c(F)cccc4F)n(-c4ccc(F)cc4)c32)cc1OC,25.0,1.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,298700.0,0.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)[O-])[C@H](O)C[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12.[Na+],87000.0,0.0
COc1ccc(C(C)(C)c2cnc(SCCOc3ccc(-n4ccnc4)cc3F)n2-c2ccc(F)cc2)cc1OC,5.8,1.0
CCOC(=O)c1coc2cc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,1.7,1.0
Cc1c(/C=C/C(=O)O)oc2ccc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)c12,18.0,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](C[C@H](O)[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,7000.0,0.0
CCC[C@]1(O)C[C@H]2[C@@H]3CC[C@H]([C@H](C)CC#N)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@@H]12,1200.0,0.0
O=C([C@H]1CCCN1Cc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,1258.93,0.0
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccccc1,1590.0,0.0
COC(=O)c1cccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C(C)C)cc2)c1,2800.0,0.0
COc1ccc(OCc2cnc(SCc3c(F)cccc3Cl)n2-c2ccc(F)cc2)cc1OC,17800.0,0.0
Cc1nn(C)c(Oc2ccc(Cl)cc2Cl)c1C(=O)N1CCCCC1c1cccnc1,12.0,1.0
O=C(NCCCCOc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,12.59,1.0
O=C(OCC(F)(F)F)c1coc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,23.3,1.0
